GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
aula,com.devsuperior.dscommerce.config.customgrant,CustomPasswordAuthenticationProvider,227,27,14,0,55,10,13,1,6,1
aula,com.devsuperior.dscommerce.config.customgrant,CustomUserAuthorities,15,0,0,0,6,0,3,0,3,0
aula,com.devsuperior.dscommerce.config.customgrant,CustomPasswordAuthenticationConverter,169,3,28,0,38,1,18,1,4,1
aula,com.devsuperior.dscommerce.config.customgrant,CustomPasswordAuthenticationToken,35,0,2,0,9,0,5,0,4,0
aula,com.devsuperior.dscommerce.services,AuthService,20,3,4,0,4,1,3,1,1,1
aula,com.devsuperior.dscommerce.services,OrderService,92,3,2,0,17,1,4,1,3,1
aula,com.devsuperior.dscommerce.services,CategoryService,15,3,0,0,2,1,2,1,2,1
aula,com.devsuperior.dscommerce.services,UserService,86,3,4,0,18,1,5,1,3,1
aula,com.devsuperior.dscommerce.services,ProductService,146,3,4,0,33,1,10,1,8,1
aula,com.devsuperior.dscommerce.entities,Product,111,13,8,0,30,4,21,1,17,1
aula,com.devsuperior.dscommerce.entities,Category,63,8,8,0,16,3,12,1,8,1
aula,com.devsuperior.dscommerce.entities,User,149,13,12,0,45,4,30,1,24,1
aula,com.devsuperior.dscommerce.entities,OrderItem,94,0,8,0,26,0,16,0,12,0
aula,com.devsuperior.dscommerce.entities,Role,57,3,6,0,19,2,10,1,7,1
aula,com.devsuperior.dscommerce.entities,OrderStatus,0,33,0,0,0,2,0,1,0,1
aula,com.devsuperior.dscommerce.entities,Order,103,8,8,0,29,3,20,1,16,1
aula,com.devsuperior.dscommerce.entities,Payment,68,0,8,0,21,0,14,0,10,0
aula,com.devsuperior.dscommerce.entities,OrderItemPK,72,0,12,0,16,0,13,0,7,0
aula,com.devsuperior.dscommerce.dto,PaymentDTO,26,0,0,0,10,0,4,0,4,0
aula,com.devsuperior.dscommerce.dto,UserDTO,87,0,2,0,24,0,9,0,8,0
aula,com.devsuperior.dscommerce.dto,CustomErrorDTO,27,0,0,0,10,0,5,0,5,0
aula,com.devsuperior.dscommerce.dto,OrderItemDTO,72,0,0,0,22,0,9,0,9,0
aula,com.devsuperior.dscommerce.dto,FieldMessageDTO,15,0,0,0,6,0,3,0,3,0
aula,com.devsuperior.dscommerce.dto,ValidationErrorDTO,36,0,0,0,7,0,4,0,4,0
aula,com.devsuperior.dscommerce.dto,OrderDTO,133,0,6,0,32,0,13,0,10,0
aula,com.devsuperior.dscommerce.dto,CategoryDTO,29,0,0,0,12,0,5,0,5,0
aula,com.devsuperior.dscommerce.dto,ProductMinDTO,46,0,0,0,16,0,6,0,6,0
aula,com.devsuperior.dscommerce.dto,ClientDTO,26,0,0,0,10,0,4,0,4,0
aula,com.devsuperior.dscommerce.dto,ProductDTO,97,0,2,0,26,0,10,0,9,0
aula,com.devsuperior.dscommerce.controllers,UserController,7,3,0,0,2,1,1,1,1,1
aula,com.devsuperior.dscommerce.controllers,ProductController,56,3,0,0,12,1,5,1,5,1
aula,com.devsuperior.dscommerce.controllers,OrderController,31,3,0,0,6,1,2,1,2,1
aula,com.devsuperior.dscommerce.controllers,CategoryController,7,3,0,0,2,1,1,1,1,1
aula,com.devsuperior.dscommerce.config,ResourceServerConfig,0,173,0,0,0,28,0,13,0,13
aula,com.devsuperior.dscommerce.config,AuthorizationServerConfig,45,210,2,0,10,46,4,17,3,17
aula,com.devsuperior.dscommerce.services.exceptions,ResourceNotFoundException,4,0,0,0,2,0,1,0,1,0
aula,com.devsuperior.dscommerce.services.exceptions,ForbiddenException,4,0,0,0,2,0,1,0,1,0
aula,com.devsuperior.dscommerce.services.exceptions,DatabaseException,4,0,0,0,2,0,1,0,1,0
aula,com.devsuperior.dscommerce.controllers.handlers,ControllerExceptionHandler,94,3,2,0,15,1,5,1,4,1
aula,com.devsuperior.dscommerce,DscommerceApplication,5,3,0,0,2,1,1,1,1,1
